,sid,did
0,1,e8483fccea2f1e3dfd944a7d82a8406a507e36cbe2369b11fc04db63eed73417
1,1,52903d2c573db7e9041a5931c67448a76564b4f05fb380f29779071494e7f41b
2,1,1c30070ef4f992ed669f153500040a94c3f2100bf746e835a4c51af1374db9d4
3,1,fbe3294145c21146ef517e075956cdda59df4c0bea5b3a5732e09c727034dc2d
4,1,9798e7ec4a5c66c1e31a18578628872c7f29e7bfb18f9a261e02ee81850fff5a
5,1,a12c3898aaa70ff837d13d553aa9f522b9068eddbb87f1bcbbe8ed5edfbbe380
6,1,80fa399f120fb82b003672bb3000a275efa857051e45dc2385ab0fc27127519b
7,1,24edf95b430daf10f44ce915c13d77e660079784f2743b839ee5c782c7ff65de
8,1,758289018291541e503b4a8a99a3fb528931b213d1427f9f0fc8196320a38e36
9,1,6d957b46105373ba7ca7179939925ff9622996bed34e1b48851bd75a3b30aecc
10,1,7d3cd3781d824e23e2e7ab52f0e42334e0a4ffd4c41922a663d3dce2116814d9
11,1,61acf09aaf42fb2402f2ba7c731191d1bbb7267359f8dcae59aee6fe74194cdd
12,1,33151762b6f902eef162a40231c46cf3e1be40c2afeb41aafef9228925a000cf
13,1,293902d95dca0d0fc2a948a00c2ec8c8abf5a00f0082ce6f2fd405aa6be68340
14,1,095979ff57648faab1e5d13ae45d23caa00e6df891c872083dcd1bf048f7d4eb
15,1,6c4090380217b0a4a6b8b3f9b81495d53cd3684a2be367f7ff29cd35a5e2765d
16,1,1aed0164d5f8efeb90283d7caaeeb809d107b9ac33f92623a309301765e9b6b2
17,1,d6ccd132f065a2c94003440b67071017d409886d7ee8ab37fef933f763ed7cc4
18,1,975e4836840002d6cf2423db77fcb0eec46657a60a8e45b685016d7712a5aeb1
19,1,55e18657adb0ea0cd6f084024889719072612e5ba463c51df1aea0b14241dd24
20,1,d9d0dce1f81f27458c9a0c7ff006062884c9aec8793052897ae0a43997bad896
21,1,6031b4ff5c642696c0b50a0bbda1f0da78889a2496697655de8531aa4f5c9945
22,1,829921a924045becc035ce45b8efce9f5fa2acfd9ce3fe9b78fa8bb100307163
23,1,79d937dfa806771848a5300d18254ec821641faa24537ddb50762d37152c33cb
24,1,584714ccc69064e679cdc786640e13d27bcd0f5b0e9943248d5f26ed7939dd06
25,1,f8668d0c0bdf8fe7802dc70a93f959d75b3c0809f76d5d3aefd3fa668ae60c12
26,1,31d277a534fd25aba3ca61410c39901cb0f19cb15242cd82dc988642956bc507
27,1,30a31b8c576e16a79bc6b55bb992601765b182eb1ace3f8f6f1dae82ab9d87e0
28,1,1be810dc24448697b2ee86ae39cabc3556a6d533dc6de84124a77284c3dffc66
29,1,657ae2d75b12eb9b816467cd68b9eec685ef22468cb95bd56e27b1fdf6e4f512
30,1,0a4cc1c9f92a072c6d0149977f52fb745222949c7980af5bac7bd1c4374e8fb2
